zip,city,region,district
16040,viet tri,east,district #13
16041,viet tri,east,district #13
16045,bac giang,east,district #13
16046,ninh binh,east,district #13
16048,cam pha,east,district #13
16049,hai phong,east,district #13
16050,phu ly,east,district #13
16051,uong bi,east,district #13
16052,uong bi,east,district #13
16053,cam pha,east,district #13
16054,cam pha,east,district #13
16055,hai phong,east,district #13
16056,cam pha,east,district #13
16057,ninh binh,east,district #13
16058,thai nguyen,east,district #13
16059,uong bi,east,district #13
16061,hanoi,east,district #13
16063,thai nguyen,east,district #13
16066,bac giang,east,district #13
16101,son tay,east,district #13
16102,nam dinh,east,district #13
16103,nam dinh,east,district #13
16105,bac ninh,east,district #13
16107,son tay,east,district #13
16108,ninh binh,east,district #13
16110,hanoi,east,district #13
16111,nam dinh,east,district #13
16112,ninh binh,east,district #13
16115,hanoi,east,district #13
16116,ninh binh,east,district #13
16117,nam dinh,east,district #13
16120,lao cai,east,district #13
16123,thai nguyen,east,district #13
16130,bac giang,east,district #13
16131,viet tri,east,district #13
16132,hai phong,east,district #13
16134,cam pha,east,district #13
16136,cam pha,east,district #13
16140,phu ly,east,district #13
16141,son tay,east,district #13
16142,viet tri,east,district #13
16143,bac ninh,east,district #13
16151,bac ninh,east,district #13
16155,bac ninh,east,district #13
16156,ninh binh,east,district #13
16157,thai nguyen,east,district #13
16160,ha long,east,district #13
16172,thai nguyen,east,district #13
16201,hanoi,east,district #13
16210,hai phong,east,district #13
16211,hai phong,east,district #13
16212,phu ly,east,district #13
16213,phu ly,east,district #13
16214,viet tri,east,district #13
16217,bac giang,east,district #13
16218,phu ly,east,district #13
16220,ha long,east,district #13
16221,lao cai,east,district #13
16222,cam pha,east,district #13
16223,son tay,east,district #13
16224,ha long,east,district #13
16225,bac giang,east,district #13
16226,viet tri,east,district #13
16228,bac giang,east,district #13
16229,bac giang,east,district #13
16230,ha long,east,district #13
16232,bac ninh,east,district #13
16233,nam dinh,east,district #13
16234,thai nguyen,east,district #13
16235,viet tri,east,district #13
16236,uong bi,east,district #13
16238,uong bi,east,district #13
16239,bac ninh,east,district #13
16240,son tay,east,district #13
16242,hai phong,east,district #13
16244,thai nguyen,east,district #13
16245,hai phong,east,district #13
16246,thai nguyen,east,district #13
16248,son tay,east,district #13
16249,bac ninh,east,district #13
16250,lao cai,east,district #13
16253,bac giang,east,district #13
16254,viet tri,east,district #13
16255,bac giang,east,district #13
16256,nam dinh,east,district #13
16257,phu ly,east,district #13
16258,son tay,east,district #13
16259,nam dinh,east,district #13
16260,phu ly,east,district #13
16261,nam dinh,east,district #13
16262,phu ly,east,district #13
16263,ninh binh,east,district #13
16301,bac giang,east,district #13
16311,phu ly,east,district #13
16314,nam dinh,east,district #13
16316,hai phong,east,district #13
16317,hai phong,east,district #13
16319,bac giang,east,district #13
16322,lao cai,east,district #13
16323,hai phong,east,district #13
16326,bac giang,east,district #13
16327,viet tri,east,district #13
16328,ha long,east,district #13
16331,phu ly,east,district #13
16332,thai nguyen,east,district #13
16334,ninh binh,east,district #13
16335,uong bi,east,district #13
16341,cam pha,east,district #13
16343,ha long,east,district #13
16344,bac giang,east,district #13
16346,ninh binh,east,district #13
16353,hanoi,east,district #13
16354,phu ly,east,district #13
16360,bac giang,east,district #13
16361,phu ly,east,district #13
16362,viet tri,east,district #13
16364,bac giang,east,district #13
16370,thai nguyen,east,district #13
16372,uong bi,east,district #13
16373,hai phong,east,district #13
16374,uong bi,east,district #13
16375,hai phong,east,district #13
16388,viet tri,east,district #13
16403,uong bi,east,district #13
16404,hai phong,east,district #13
16406,phu ly,east,district #13
16422,bac ninh,east,district #13
16424,ninh binh,east,district #13
16432,hanoi,east,district #13
16433,ha long,east,district #13
16434,bac giang,east,district #13
16435,ha long,east,district #13
16436,thai nguyen,east,district #13
16440,viet tri,east,district #13
16601,ha long,east,district #13
16602,viet tri,east,district #13
16603,hai phong,east,district #13
16611,ha long,east,district #13
16613,uong bi,east,district #13
16616,ninh binh,east,district #13
16617,ha long,east,district #13
16619,thai nguyen,east,district #13
16620,lao cai,east,district #13
16621,son tay,east,district #13
16622,uong bi,east,district #13
16623,bac giang,east,district #13
16624,thai nguyen,east,district #13
16625,uong bi,east,district #13
16627,uong bi,east,district #13
16629,thai nguyen,east,district #13
16630,hanoi,east,district #13
16631,ha long,east,district #13
16633,son tay,east,district #13
16634,bac ninh,east,district #13
16635,bac giang,east,district #13
16636,bac giang,east,district #13
16637,phu ly,east,district #13
16638,hanoi,east,district #13
16639,hai phong,east,district #13
16640,nam dinh,east,district #13
16641,bac giang,east,district #13
16644,viet tri,east,district #13
16645,bac giang,east,district #13
16646,bac giang,east,district #13
16647,son tay,east,district #13
16648,ha long,east,district #13
16650,uong bi,east,district #13
16651,cam pha,east,district #13
16652,bac giang,east,district #13
16654,ninh binh,east,district #13
16655,nam dinh,east,district #13
16656,son tay,east,district #13
16657,thai nguyen,east,district #13
16659,cam pha,east,district #13
16660,cam pha,east,district #13
16661,ninh binh,east,district #13
16662,bac giang,east,district #13
16663,nam dinh,east,district #13
16664,hanoi,east,district #13
16665,bac ninh,east,district #13
16666,ninh binh,east,district #13
16667,hanoi,east,district #13
16668,lao cai,east,district #13
16669,cam pha,east,district #13
16670,hai phong,east,district #13
16671,thai nguyen,east,district #13
16672,cam pha,east,district #13
16673,thai nguyen,east,district #13
16674,hai phong,east,district #13
16675,viet tri,east,district #13
16678,viet tri,east,district #13
16679,hai phong,east,district #13
16680,nam dinh,east,district #13
16681,nam dinh,east,district #13
16682,viet tri,east,district #13
16683,phu ly,east,district #13
16684,phu ly,east,district #13
16685,son tay,east,district #13
16686,phu ly,east,district #13
16692,thai nguyen,east,district #13
16693,hai phong,east,district #13
16694,uong bi,east,district #13
16695,lao cai,east,district #13
16698,son tay,east,district #13
16699,nam dinh,east,district #13
16728,nam dinh,east,district #13
16734,hanoi,east,district #13
16735,hai phong,east,district #13
16821,cam pha,east,district #13
16825,cam pha,east,district #13
16830,bac ninh,east,district #13
16833,thai nguyen,east,district #13
16834,ninh binh,east,district #13
16836,bac giang,east,district #13
16837,ninh binh,east,district #13
16838,son tay,east,district #13
16839,thai nguyen,east,district #13
16840,ha long,east,district #13
16843,son tay,east,district #13
16845,uong bi,east,district #13
16847,thai nguyen,east,district #13
16849,uong bi,east,district #13
16850,cam pha,east,district #13
16855,lao cai,east,district #13
16858,nam dinh,east,district #13
16860,son tay,east,district #13
16861,son tay,east,district #13
16863,ha long,east,district #13
16871,ha long,east,district #13
16873,cam pha,east,district #13
16876,hanoi,east,district #13
16877,thai nguyen,east,district #13
16878,bac giang,east,district #13
16879,son tay,east,district #13
16881,son tay,east,district #13
17052,ha long,east,district #13
17060,lao cai,east,district #13
17066,hai phong,east,district #13
17075,phu ly,east,district #13
15001,ninh binh,east,district #13
15003,lao cai,east,district #13
15004,nam dinh,east,district #13
15005,lao cai,east,district #13
15006,hai phong,east,district #13
15007,cam pha,east,district #13
15009,bac giang,east,district #13
15010,thai nguyen,east,district #13
15012,hanoi,east,district #13
15014,phu ly,east,district #13
15015,thai nguyen,east,district #13
15017,viet tri,east,district #13
15018,bac ninh,east,district #13
15019,bac ninh,east,district #13
15020,lao cai,east,district #13
15021,hai phong,east,district #13
15022,phu ly,east,district #13
15024,phu ly,east,district #13
15025,bac ninh,east,district #13
15026,nam dinh,east,district #13
15027,hanoi,east,district #13
15028,son tay,east,district #13
15030,son tay,east,district #13
15031,nam dinh,east,district #13
15032,hanoi,east,district #13
15033,hai phong,east,district #13
15034,hanoi,east,district #13
15035,ninh binh,east,district #13
15037,lao cai,east,district #13
15038,ha long,east,district #13
15042,phu ly,east,district #13
15043,ha long,east,district #13
15044,bac ninh,east,district #13
15045,uong bi,east,district #13
15046,phu ly,east,district #13
15047,lao cai,east,district #13
15049,hanoi,east,district #13
15050,ha long,east,district #13
15051,nam dinh,east,district #13
15052,thai nguyen,east,district #13
15053,son tay,east,district #13
15054,phu ly,east,district #13
15055,thai nguyen,east,district #13
15056,son tay,east,district #13
15057,bac giang,east,district #13
15059,cam pha,east,district #13
15060,bac giang,east,district #13
15061,ha long,east,district #13
15062,son tay,east,district #13
15063,hanoi,east,district #13
15064,ha long,east,district #13
15065,nam dinh,east,district #13
15066,nam dinh,east,district #13
15067,hai phong,east,district #13
15068,hanoi,east,district #13
15069,viet tri,east,district #13
15071,son tay,east,district #13
15072,hai phong,east,district #13
15074,thai nguyen,east,district #13
15075,cam pha,east,district #13
15076,lao cai,east,district #13
15077,viet tri,east,district #13
15078,phu ly,east,district #13
15081,uong bi,east,district #13
15082,bac ninh,east,district #13
15083,ha long,east,district #13
15084,lao cai,east,district #13
15085,ninh binh,east,district #13
15086,hanoi,east,district #13
15087,phu ly,east,district #13
15088,hai phong,east,district #13
15089,phu ly,east,district #13
15090,ninh binh,east,district #13
15091,hai phong,east,district #13
15095,bac giang,east,district #13
15096,hai phong,east,district #13
15101,cam pha,east,district #13
15102,lao cai,east,district #13
15104,hai phong,east,district #13
15106,bac ninh,east,district #13
15108,son tay,east,district #13
15110,thai nguyen,east,district #13
15112,hai phong,east,district #13
15116,bac giang,east,district #13
15120,cam pha,east,district #13
15122,viet tri,east,district #13
15123,thai nguyen,east,district #13
15126,son tay,east,district #13
15127,cam pha,east,district #13
15129,thai nguyen,east,district #13
15131,son tay,east,district #13
15132,lao cai,east,district #13
15133,bac giang,east,district #13
15134,hanoi,east,district #13
15135,uong bi,east,district #13
15136,cam pha,east,district #13
15137,ha long,east,district #13
15139,uong bi,east,district #13
15140,ninh binh,east,district #13
15142,hai phong,east,district #13
15143,phu ly,east,district #13
15144,hai phong,east,district #13
15145,phu ly,east,district #13
15146,bac ninh,east,district #13
15147,hanoi,east,district #13
15148,son tay,east,district #13
15301,ha long,east,district #13
15311,uong bi,east,district #13
15312,ha long,east,district #13
15313,son tay,east,district #13
15314,phu ly,east,district #13
15315,ninh binh,east,district #13
15316,bac giang,east,district #13
15317,bac giang,east,district #13
15320,uong bi,east,district #13
15321,phu ly,east,district #13
15322,ninh binh,east,district #13
15323,hanoi,east,district #13
15324,viet tri,east,district #13
15325,hai phong,east,district #13
15327,thai nguyen,east,district #13
15329,ninh binh,east,district #13
15330,nam dinh,east,district #13
15331,ninh binh,east,district #13
15332,bac giang,east,district #13
15333,nam dinh,east,district #13
15334,thai nguyen,east,district #13
15336,cam pha,east,district #13
15337,phu ly,east,district #13
15338,uong bi,east,district #13
15339,son tay,east,district #13
15340,lao cai,east,district #13
15341,phu ly,east,district #13
15342,uong bi,east,district #13
15344,thai nguyen,east,district #13
15345,bac ninh,east,district #13
15346,hai phong,east,district #13
15347,bac ninh,east,district #13
15348,lao cai,east,district #13
15349,bac ninh,east,district #13
15350,hai phong,east,district #13
15351,viet tri,east,district #13
15353,son tay,east,district #13
15357,lao cai,east,district #13
15358,nam dinh,east,district #13
15359,bac giang,east,district #13
15360,cam pha,east,district #13
15361,nam dinh,east,district #13
15362,nam dinh,east,district #13
15363,nam dinh,east,district #13
15364,son tay,east,district #13
15365,phu ly,east,district #13
15366,ninh binh,east,district #13
15367,ninh binh,east,district #13
15368,son tay,east,district #13
15370,hai phong,east,district #13
15378,lao cai,east,district #13
15379,hanoi,east,district #13
15401,bac giang,east,district #13
15410,uong bi,east,district #13
15411,bac ninh,east,district #13
15412,ha long,east,district #13
15413,ha long,east,district #13
15415,ninh binh,east,district #13
15416,thai nguyen,east,district #13
15417,thai nguyen,east,district #13
15419,lao cai,east,district #13
15420,ha long,east,district #13
15421,lao cai,east,district #13
15422,lao cai,east,district #13
15423,uong bi,east,district #13
15424,ha long,east,district #13
15425,ha long,east,district #13
15427,nam dinh,east,district #13
15428,uong bi,east,district #13
15429,ha long,east,district #13
15430,bac giang,east,district #13
15431,hai phong,east,district #13
15432,cam pha,east,district #13
15433,hanoi,east,district #13
15434,viet tri,east,district #13
15435,hanoi,east,district #13
15436,ha long,east,district #13
15437,ha long,east,district #13
15438,ninh binh,east,district #13
15439,hanoi,east,district #13
15440,bac giang,east,district #13
15442,uong bi,east,district #13
15443,cam pha,east,district #13
15444,viet tri,east,district #13
15445,ninh binh,east,district #13
15446,bac ninh,east,district #13
15447,ninh binh,east,district #13
15448,thai nguyen,east,district #13
15449,son tay,east,district #13
15450,cam pha,east,district #13
15451,phu ly,east,district #13
15454,lao cai,east,district #13
15455,ninh binh,east,district #13
15456,ninh binh,east,district #13
15458,cam pha,east,district #13
15459,hanoi,east,district #13
15460,bac giang,east,district #13
15461,ha long,east,district #13
15462,lao cai,east,district #13
15463,nam dinh,east,district #13
15464,nam dinh,east,district #13
15465,nam dinh,east,district #13
15466,uong bi,east,district #13
15467,cam pha,east,district #13
15468,son tay,east,district #13
15469,bac ninh,east,district #13
15470,nam dinh,east,district #13
15472,hanoi,east,district #13
15473,hanoi,east,district #13
15474,bac ninh,east,district #13
15475,lao cai,east,district #13
15476,cam pha,east,district #13
15477,lao cai,east,district #13
15478,hai phong,east,district #13
15479,hai phong,east,district #13
15480,ninh binh,east,district #13
15482,hai phong,east,district #13
15483,hanoi,east,district #13
15484,bac ninh,east,district #13
15485,lao cai,east,district #13
15486,viet tri,east,district #13
15488,hai phong,east,district #13
15489,ninh binh,east,district #13
15490,ninh binh,east,district #13
15492,ninh binh,east,district #13
15501,lao cai,east,district #13
15502,nam dinh,east,district #13
15510,son tay,east,district #13
15520,thai nguyen,east,district #13
15521,ninh binh,east,district #13
15522,uong bi,east,district #13
15530,phu ly,east,district #13
15531,uong bi,east,district #13
15532,uong bi,east,district #13
15534,uong bi,east,district #13
15535,phu ly,east,district #13
15537,phu ly,east,district #13
15538,hai phong,east,district #13
15539,ninh binh,east,district #13
15540,cam pha,east,district #13
15541,thai nguyen,east,district #13
15542,cam pha,east,district #13
15544,son tay,east,district #13
15545,lao cai,east,district #13
15546,ninh binh,east,district #13
15547,bac giang,east,district #13
15548,phu ly,east,district #13
15549,bac ninh,east,district #13
15550,viet tri,east,district #13
15551,uong bi,east,district #13
15552,nam dinh,east,district #13
15553,nam dinh,east,district #13
15554,hanoi,east,district #13
15555,hai phong,east,district #13
15557,bac giang,east,district #13
15558,bac giang,east,district #13
15559,ha long,east,district #13
15560,bac ninh,east,district #13
15561,uong bi,east,district #13
15562,nam dinh,east,district #13
15563,thai nguyen,east,district #13
15564,bac ninh,east,district #13
15565,cam pha,east,district #13
15601,bac ninh,east,district #13
15605,phu ly,east,district #13
15606,thai nguyen,east,district #13
15610,bac giang,east,district #13
15611,bac ninh,east,district #13
15612,ha long,east,district #13
15613,viet tri,east,district #13
15615,nam dinh,east,district #13
15616,thai nguyen,east,district #13
15617,ninh binh,east,district #13
15618,son tay,east,district #13
15619,viet tri,east,district #13
15620,lao cai,east,district #13
15621,ninh binh,east,district #13
15622,bac giang,east,district #13
15623,phu ly,east,district #13
15624,thai nguyen,east,district #13
15625,bac giang,east,district #13
15626,cam pha,east,district #13
15627,son tay,east,district #13
15628,ninh binh,east,district #13
15629,bac giang,east,district #13
15631,viet tri,east,district #13
15632,ha long,east,district #13
15633,ninh binh,east,district #13
15634,cam pha,east,district #13
15635,cam pha,east,district #13
15636,phu ly,east,district #13
15637,uong bi,east,district #13
15638,hai phong,east,district #13
15639,thai nguyen,east,district #13
15640,ha long,east,district #13
15641,phu ly,east,district #13
15642,hanoi,east,district #13
15644,ha long,east,district #13
15646,uong bi,east,district #13
15647,viet tri,east,district #13
15650,cam pha,east,district #13
15655,lao cai,east,district #13
15656,lao cai,east,district #13
15658,hai phong,east,district #13
15660,son tay,east,district #13
15661,uong bi,east,district #13
15662,uong bi,east,district #13
15663,hai phong,east,district #13
15664,uong bi,east,district #13
15665,phu ly,east,district #13
15666,uong bi,east,district #13
15668,hai phong,east,district #13
15670,cam pha,east,district #13
15671,son tay,east,district #13
15672,phu ly,east,district #13
15673,hai phong,east,district #13
15674,son tay,east,district #13
15675,son tay,east,district #13
15676,ha long,east,district #13
15677,ninh binh,east,district #13
15678,bac ninh,east,district #13
15679,uong bi,east,district #13
15680,bac giang,east,district #13
15681,phu ly,east,district #13
15682,son tay,east,district #13
15683,ninh binh,east,district #13
15684,son tay,east,district #13
15685,son tay,east,district #13
15686,hai phong,east,district #13
15687,nam dinh,east,district #13
15688,phu ly,east,district #13
15689,uong bi,east,district #13
15690,hanoi,east,district #13
15691,hai phong,east,district #13
15692,cam pha,east,district #13
15693,uong bi,east,district #13
15695,ha long,east,district #13
15696,ha long,east,district #13
15697,hai phong,east,district #13
15698,cam pha,east,district #13
15701,hanoi,east,district #13
15705,uong bi,east,district #13
15710,bac giang,east,district #13
15711,bac giang,east,district #13
15712,viet tri,east,district #13
15713,cam pha,east,district #13
15714,phu ly,east,district #13
15715,phu ly,east,district #13
15716,lao cai,east,district #13
15717,ninh binh,east,district #13
15720,cam pha,east,district #13
15721,bac giang,east,district #13
15722,nam dinh,east,district #13
15723,uong bi,east,district #13
15724,hai phong,east,district #13
15725,son tay,east,district #13
15727,ninh binh,east,district #13
15728,hai phong,east,district #13
15729,ninh binh,east,district #13
15730,hai phong,east,district #13
15731,phu ly,east,district #13
15732,hai phong,east,district #13
15733,bac giang,east,district #13
15734,viet tri,east,district #13
15736,phu ly,east,district #13
15737,bac ninh,east,district #13
15738,lao cai,east,district #13
15739,phu ly,east,district #13
15741,ha long,east,district #13
15742,viet tri,east,district #13
15744,phu ly,east,district #13
15745,thai nguyen,east,district #13
15746,phu ly,east,district #13
15747,lao cai,east,district #13
15748,ninh binh,east,district #13
15750,phu ly,east,district #13
15752,uong bi,east,district #13
15753,nam dinh,east,district #13
15754,ninh binh,east,district #13
15756,bac ninh,east,district #13
15757,cam pha,east,district #13
15758,thai nguyen,east,district #13
15759,thai nguyen,east,district #13
15760,ha long,east,district #13
15761,son tay,east,district #13
15762,ha long,east,district #13
15763,hai phong,east,district #13
15764,son tay,east,district #13
15765,cam pha,east,district #13
15767,bac giang,east,district #13
15770,phu ly,east,district #13
15771,bac ninh,east,district #13
15772,hai phong,east,district #13
15773,phu ly,east,district #13
15774,ha long,east,district #13
15775,cam pha,east,district #13
15776,son tay,east,district #13
15777,son tay,east,district #13
15778,bac ninh,east,district #13
15779,phu ly,east,district #13
15780,uong bi,east,district #13
15781,bac giang,east,district #13
15783,hai phong,east,district #13
15784,bac ninh,east,district #13
15801,viet tri,east,district #13
15821,son tay,east,district #13
15822,hanoi,east,district #13
15823,phu ly,east,district #13
15824,ninh binh,east,district #13
15825,son tay,east,district #13
15827,bac ninh,east,district #13
15828,hai phong,east,district #13
15829,nam dinh,east,district #13
15831,ninh binh,east,district #13
15832,lao cai,east,district #13
15840,uong bi,east,district #13
15841,hai phong,east,district #13
15845,hai phong,east,district #13
15846,bac giang,east,district #13
15847,uong bi,east,district #13
15848,hanoi,east,district #13
15849,viet tri,east,district #13
15851,cam pha,east,district #13
15853,hanoi,east,district #13
15856,hai phong,east,district #13
15857,bac giang,east,district #13
15860,phu ly,east,district #13
15861,ninh binh,east,district #13
15863,bac giang,east,district #13
15864,thai nguyen,east,district #13
15865,son tay,east,district #13
15866,bac giang,east,district #13
15868,thai nguyen,east,district #13
15870,bac giang,east,district #13
15901,hanoi,east,district #13
15902,thai nguyen,east,district #13
15904,cam pha,east,district #13
15905,lao cai,east,district #13
15906,phu ly,east,district #13
15907,phu ly,east,district #13
15909,cam pha,east,district #13
15915,hai phong,east,district #13
15920,bac ninh,east,district #13
15921,son tay,east,district #13
15922,hanoi,east,district #13
15923,lao cai,east,district #13
15924,viet tri,east,district #13
15925,nam dinh,east,district #13
15926,phu ly,east,district #13
15927,ninh binh,east,district #13
15928,hanoi,east,district #13
15929,hai phong,east,district #13
15930,viet tri,east,district #13
15931,son tay,east,district #13
15934,hanoi,east,district #13
15935,viet tri,east,district #13
15936,hai phong,east,district #13
17555,viet tri,east,district #04
18015,uong bi,east,district #04
18016,hai phong,east,district #04
18018,viet tri,east,district #04
18025,lao cai,east,district #04
18034,lao cai,east,district #04
18036,hanoi,east,district #04
18039,nam dinh,east,district #04
18041,nam dinh,east,district #04
18046,bac giang,east,district #04
18049,ha long,east,district #04
18054,ninh binh,east,district #04
18055,phu ly,east,district #04
18056,ninh binh,east,district #04
18060,ha long,east,district #04
18062,hanoi,east,district #04
18068,lao cai,east,district #04
18070,thai nguyen,east,district #04
18073,viet tri,east,district #04
18074,lao cai,east,district #04
18076,hanoi,east,district #04
18077,hanoi,east,district #04
18081,hanoi,east,district #04
18084,ha long,east,district #04
18087,hanoi,east,district #04
18092,ninh binh,east,district #04
18098,uong bi,east,district #04
18099,son tay,east,district #04
18103,ninh binh,east,district #04
18106,son tay,east,district #04
18195,nam dinh,east,district #04
18901,thai nguyen,east,district #04
18902,ninh binh,east,district #04
18910,nam dinh,east,district #04
18911,hanoi,east,district #04
18912,viet tri,east,district #04
18913,ninh binh,east,district #04
18914,son tay,east,district #04
18915,lao cai,east,district #04
18916,hai phong,east,district #04
18917,phu ly,east,district #04
18918,ninh binh,east,district #04
18920,viet tri,east,district #04
18921,ninh binh,east,district #04
18922,ninh binh,east,district #04
18923,bac giang,east,district #04
18924,hanoi,east,district #04
18925,bac giang,east,district #04
18926,ha long,east,district #04
18927,hai phong,east,district #04
18928,hai phong,east,district #04
18929,viet tri,east,district #04
18930,cam pha,east,district #04
18931,cam pha,east,district #04
18932,phu ly,east,district #04
18933,cam pha,east,district #04
18934,uong bi,east,district #04
18935,hai phong,east,district #04
18936,ninh binh,east,district #04
18938,bac giang,east,district #04
18940,ha long,east,district #04
18942,ninh binh,east,district #04
18943,phu ly,east,district #04
18944,hanoi,east,district #04
18946,ha long,east,district #04
18947,hanoi,east,district #04
18949,nam dinh,east,district #04
18950,hai phong,east,district #04
18951,viet tri,east,district #04
18953,cam pha,east,district #04
18954,son tay,east,district #04
18955,phu ly,east,district #04
18956,uong bi,east,district #04
18957,cam pha,east,district #04
18958,hanoi,east,district #04
18960,hanoi,east,district #04
18962,uong bi,east,district #04
18963,hanoi,east,district #04
18964,hanoi,east,district #04
18966,nam dinh,east,district #04
18968,lao cai,east,district #04
18969,bac giang,east,district #04
18970,viet tri,east,district #04
18971,bac ninh,east,district #04
18972,ha long,east,district #04
18974,bac ninh,east,district #04
18976,hai phong,east,district #04
18977,phu ly,east,district #04
18979,ha long,east,district #04
18980,bac ninh,east,district #04
18981,son tay,east,district #04
18991,uong bi,east,district #04
19001,bac giang,east,district #04
19002,cam pha,east,district #04
19003,phu ly,east,district #04
19004,nam dinh,east,district #04
19006,uong bi,east,district #04
19007,lao cai,east,district #04
19008,uong bi,east,district #04
19009,bac giang,east,district #04
19010,ha long,east,district #04
19012,nam dinh,east,district #04
19013,son tay,east,district #04
19014,cam pha,east,district #04
19015,thai nguyen,east,district #04
19016,bac ninh,east,district #04
19017,uong bi,east,district #04
19018,cam pha,east,district #04
19020,viet tri,east,district #04
19021,nam dinh,east,district #04
19022,viet tri,east,district #04
19023,bac giang,east,district #04
19025,son tay,east,district #04
19026,ha long,east,district #04
19027,ha long,east,district #04
19028,bac giang,east,district #04
19029,cam pha,east,district #04
19030,viet tri,east,district #04
19031,bac ninh,east,district #04
19032,lao cai,east,district #04
19033,bac giang,east,district #04
19034,hai phong,east,district #04
19035,hai phong,east,district #04
19036,son tay,east,district #04
19037,hai phong,east,district #04
19038,son tay,east,district #04
19039,nam dinh,east,district #04
19040,hai phong,east,district #04
19041,thai nguyen,east,district #04
19043,uong bi,east,district #04
19044,bac ninh,east,district #04
19046,phu ly,east,district #04
19047,uong bi,east,district #04
19048,bac ninh,east,district #04
19049,uong bi,east,district #04
19050,son tay,east,district #04
19052,bac ninh,east,district #04
19053,ha long,east,district #04
19054,bac ninh,east,district #04
19055,ninh binh,east,district #04
19056,nam dinh,east,district #04
19057,son tay,east,district #04
19058,uong bi,east,district #04
19060,uong bi,east,district #04
19061,thai nguyen,east,district #04
19063,lao cai,east,district #04
19064,hanoi,east,district #04
19065,thai nguyen,east,district #04
19066,bac ninh,east,district #04
19067,bac giang,east,district #04
19070,bac giang,east,district #04
19072,ha long,east,district #04
19073,nam dinh,east,district #04
19074,hai phong,east,district #04
19075,uong bi,east,district #04
19076,thai nguyen,east,district #04
19078,cam pha,east,district #04
19079,uong bi,east,district #04
19080,viet tri,east,district #04
19081,cam pha,east,district #04
19082,viet tri,east,district #04
19083,uong bi,east,district #04
